City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,cochrane,51.1834,-114.4687,35.62,51,0,4.61,CA,2023-10-29 15:23:57
235,mar del plata,-38.0023,-57.5575,62.62,49,0,18.01,AR,2023-10-29 15:19:06
236,lihue,21.9789,-159.3672,81.99,73,75,5.75,US,2023-10-29 15:23:57
237,labytnangi,66.6572,66.4183,7.25,98,99,3.36,RU,2023-10-29 15:23:57
238,port elizabeth,-33.918,25.5701,58.32,66,40,14.97,ZA,2023-10-29 15:23:57
239,novoagansk,61.9449,76.6625,8.1,98,72,0.87,RU,2023-10-29 15:23:57
240,oliver,49.1831,-119.5524,43.05,42,8,4.61,CA,2023-10-29 15:23:58
241,katsuren-haebaru,26.3369,127.8719,71.62,82,0,6.91,JP,2023-10-29 15:23:58
242,castillos,-34.1667,-53.8333,66.99,78,25,7.78,UY,2023-10-29 15:23:58
243,enewetak,11.3474,162.3373,83.8,76,68,19.24,MH,2023-10-29 15:23:58
244,dakhla,23.6848,-15.958,69.82,88,100,13.8,EH,2023-10-29 15:23:58
245,fort bragg,35.139,-79.006,84.34,48,0,11.5,US,2023-10-29 15:23:59
246,fukuecho,32.6881,128.8419,64.29,59,1,11.25,JP,2023-10-29 15:23:59
247,mbandaka,0.0487,18.2603,78.8,74,96,2.33,CD,2023-10-29 15:23:59
248,atafu village,-8.5421,-172.5159,84.15,70,94,10.49,TK,2023-10-29 15:23:59
249,yuzhno-sukhokumsk,44.6581,45.6436,62.15,39,99,4.61,RU,2023-10-29 15:23:59
250,taoudenni,22.6783,-3.9836,92.7,10,0,6.58,ML,2023-10-29 15:23:59
251,khambhat,22.3,72.6167,80.08,36,95,7.38,IN,2023-10-29 15:23:59
252,mhamid,29.82,-5.72,81.05,22,97,15.84,MA,2023-10-29 15:24:00
253,sajir,25.1825,44.5996,74.41,33,91,7.27,SA,2023-10-29 15:23:00
254,jeanerette,29.911,-91.6635,87.89,54,7,11.41,US,2023-10-29 15:24:00
255,hasaki,35.7333,140.8333,50.4,66,0,16.4,JP,2023-10-29 15:24:00
256,tralee,52.2704,-9.7026,47.57,91,94,3.4,IE,2023-10-29 15:24:01
257,pizarro,4.9533,-77.366,80.8,76,88,2.15,CO,2023-10-29 15:24:01
258,papao,-17.75,-149.55,83.88,81,2,17.25,PF,2023-10-29 15:24:01
259,tsiombe,-25.3,45.4833,73.45,80,0,4.16,MG,2023-10-29 15:24:01
260,suntar,62.1444,117.6319,16.54,86,94,6.06,RU,2023-10-29 15:24:02
261,selkirk,50.1436,-96.8845,28.09,77,98,8.01,CA,2023-10-29 15:22:03
262,san luis de la loma,17.2706,-100.8939,85.06,74,23,8.25,MX,2023-10-29 15:24:02
263,port alfred,-33.5906,26.891,58.17,69,100,5.01,ZA,2023-10-29 15:24:02
264,vicuna,-30.0319,-70.7081,77.77,34,25,10.76,CL,2023-10-29 15:24:03
265,tyukhtet,56.5389,89.3011,18.05,95,11,4.07,RU,2023-10-29 15:21:21
266,coruripe,-10.1256,-36.1756,77.54,71,53,11.88,BR,2023-10-29 15:24:03
267,geraldton,-28.7667,114.6,59.41,88,60,12.66,AU,2023-10-29 15:24:03
268,bodo,67.28,14.405,26.78,85,20,17.27,NO,2023-10-29 15:24:04
269,minot air force base,48.4209,-101.3391,24.98,79,20,19.57,US,2023-10-29 15:24:04
270,ceelbuur,4.685,46.6176,73.99,92,100,4.45,SO,2023-10-29 15:24:04
271,ulety,51.3572,112.4849,15.64,53,66,1.05,RU,2023-10-29 15:24:04
272,yambio,4.5721,28.3955,70.3,92,89,2.1,SS,2023-10-29 15:24:05
273,smidovich,48.6,133.8167,33.3,65,28,6.06,RU,2023-10-29 15:24:05
274,galle,6.0367,80.217,76.91,86,99,3.4,LK,2023-10-29 15:22:50
275,camana,-16.6228,-72.7111,71.01,76,48,10.89,PE,2023-10-29 15:24:05
276,caconda,-13.7333,15.0667,65.35,74,100,7.9,AO,2023-10-29 15:24:06
277,bandarbeyla,9.4942,50.8122,79.66,80,32,8.77,SO,2023-10-29 15:24:06
278,nishinoomote,30.7333,131.0,68.63,52,11,5.86,JP,2023-10-29 15:24:06
279,volosovo,59.4333,29.4833,31.42,88,100,5.17,RU,2023-10-29 15:24:07
280,muggio,45.5884,9.2263,59.02,94,75,4.61,IT,2023-10-29 15:24:07
281,mejit,10.2753,170.8646,82.74,81,65,21.0,MH,2023-10-29 15:24:07
282,quelimane,-17.8786,36.8883,78.66,85,15,9.28,MZ,2023-10-29 15:24:08
283,vorgashor,67.5833,63.95,1.71,97,23,5.84,RU,2023-10-29 15:24:08
284,terrace,54.5163,-128.6035,33.71,64,75,4.61,CA,2023-10-29 15:24:08
285,mount gambier,-37.8333,140.7667,51.67,90,71,8.75,AU,2023-10-29 15:23:23
286,manado,1.487,124.8455,79.57,83,20,3.44,ID,2023-10-29 15:24:09
287,lucapa,-8.4192,20.7447,71.94,75,1,3.27,AO,2023-10-29 15:24:09
288,pallisa,1.145,33.7094,67.01,95,100,4.05,UG,2023-10-29 15:24:09
289,kozhevnikovo,56.2589,83.9714,19.26,91,7,5.26,RU,2023-10-29 15:24:10
290,tucurui,-3.7661,-49.6725,97.81,31,76,4.74,BR,2023-10-29 15:24:10
291,ampanihy,-24.7,44.75,71.1,76,20,3.11,MG,2023-10-29 15:24:10
292,porto novo,6.4965,2.6036,84.02,86,99,3.91,BJ,2023-10-29 15:24:10
293,pisco,-13.7,-76.2167,77.02,60,0,25.32,PE,2023-10-29 15:24:11
294,glace bay,46.1969,-59.957,45.05,65,75,16.11,CA,2023-10-29 15:24:11
295,tandil,-37.3217,-59.1332,62.69,34,100,13.78,AR,2023-10-29 15:22:57
296,kurumkan,54.3,110.3,16.12,67,28,1.01,RU,2023-10-29 15:24:12
297,mek'ele,13.4967,39.4753,61.59,77,61,11.23,ET,2023-10-29 15:24:12
298,mana,5.6592,-53.7767,83.64,76,100,15.08,GF,2023-10-29 15:24:12
